recipient_id,recipient_type,location_x,location_y,demand_level_kg,fulfilled_demand,food_type_preference,priority,demand_timestamp,scenario,step_count
R000,Food Bank,37.53073758204292,40.3417369633632,10.952832072961971,0,Bread,High,2025-04-30 01:00:00,weekend,1
R001,Community Center,29.027200617195493,43.3558303604861,11.795839310372953,0,Bread,Medium,2025-04-30 01:00:00,weekend,1
R002,Community Center,37.72714370423412,5.15619344179663,11.303862003041974,0,Dairy,Medium,2025-04-30 01:00:00,weekend,1
R003,Food Bank,44.77616142481003,19.46008393670816,11.89280949085178,0,Vegetables,Low,2025-04-30 01:00:00,weekend,1
R004,Community Center,47.84004425632282,33.83849522121516,9.922632394388424,0,Dairy,Medium,2025-04-30 01:00:00,weekend,1
R005,Food Bank,14.660538584903229,16.4332272684958,12.210746171170035,0,Bread,Low,2025-04-30 01:00:00,weekend,1
R006,Food Bank,5.6732301008724,46.54645528436463,11.609655993814702,0,Dairy,Medium,2025-04-30 01:00:00,weekend,1
R007,Community Center,44.38520913791499,17.545750627603933,11.70358400190275,0,Bread,Medium,2025-04-30 01:00:00,weekend,1
R008,Food Bank,5.0561338061395125,4.205340305749871,13.549656334221622,0,Dairy,Medium,2025-04-30 01:00:00,weekend,1
R009,Food Bank,25.666308434619644,11.661403621226391,12.971621505718971,0,Vegetables,Medium,2025-04-30 01:00:00,weekend,1
R000,Food Bank,37.53073758204292,40.3417369633632,10.995751720228553,0,Bread,High,2025-04-30 03:00:00,weekend,3
R001,Community Center,29.027200617195493,43.3558303604861,11.758981935688563,0,Bread,Medium,2025-04-30 03:00:00,weekend,3
R002,Community Center,37.72714370423412,5.15619344179663,11.038204810443899,0,Dairy,Medium,2025-04-30 03:00:00,weekend,3
R003,Food Bank,44.77616142481003,19.46008393670816,11.589244993515123,0,Vegetables,Low,2025-04-30 03:00:00,weekend,3
R004,Community Center,47.84004425632282,33.83849522121516,9.843407029923812,0,Dairy,Medium,2025-04-30 03:00:00,weekend,3
R005,Food Bank,14.660538584903229,16.4332272684958,12.206092061547938,0,Bread,Low,2025-04-30 03:00:00,weekend,3
R006,Food Bank,5.6732301008724,46.54645528436463,11.598500847322788,0,Dairy,Medium,2025-04-30 03:00:00,weekend,3
R007,Community Center,44.38520913791499,17.545750627603933,11.44941344828943,0,Bread,Medium,2025-04-30 03:00:00,weekend,3
R008,Food Bank,5.0561338061395125,4.205340305749871,13.331943559092672,0,Dairy,Medium,2025-04-30 03:00:00,weekend,3
R009,Food Bank,25.666308434619644,11.661403621226391,12.697854345213242,0,Vegetables,Medium,2025-04-30 03:00:00,weekend,3
R000,Food Bank,37.53073758204292,40.3417369633632,10.77371104035125,0,Bread,High,2025-04-30 05:00:00,weekend,5
R001,Community Center,29.027200617195493,43.3558303604861,11.545461314621726,0,Bread,Medium,2025-04-30 05:00:00,weekend,5
R002,Community Center,37.72714370423412,5.15619344179663,10.840585833150232,0,Dairy,Medium,2025-04-30 05:00:00,weekend,5
R003,Food Bank,44.77616142481003,19.46008393670816,11.389168579190702,0,Vegetables,Low,2025-04-30 05:00:00,weekend,5
R004,Community Center,47.84004425632282,33.83849522121516,9.50076078988212,0,Dairy,Medium,2025-04-30 05:00:00,weekend,5
R005,Food Bank,14.660538584903229,16.4332272684958,12.013141082354975,0,Bread,Low,2025-04-30 05:00:00,weekend,5
R006,Food Bank,5.6732301008724,46.54645528436463,11.445847251450239,0,Dairy,Medium,2025-04-30 05:00:00,weekend,5
R007,Community Center,44.38520913791499,17.545750627603933,11.093863324830725,0,Bread,Medium,2025-04-30 05:00:00,weekend,5
R008,Food Bank,5.0561338061395125,4.205340305749871,13.046070559233819,0,Dairy,Medium,2025-04-30 05:00:00,weekend,5
R009,Food Bank,25.666308434619644,11.661403621226391,12.472229838371767,0,Vegetables,Medium,2025-04-30 05:00:00,weekend,5
R000,Food Bank,37.53073758204292,40.3417369633632,10.703391361928688,0,Bread,High,2025-04-30 07:00:00,weekend,7
R001,Community Center,29.027200617195493,43.3558303604861,11.527097222328342,0,Bread,Medium,2025-04-30 07:00:00,weekend,7
R002,Community Center,37.72714370423412,5.15619344179663,10.808592119301277,0,Dairy,Medium,2025-04-30 07:00:00,weekend,7
R003,Food Bank,44.77616142481003,19.46008393670816,11.30370526741178,0,Vegetables,Low,2025-04-30 07:00:00,weekend,7
R004,Community Center,47.84004425632282,33.83849522121516,9.512116718442163,0,Dairy,Medium,2025-04-30 07:00:00,weekend,7
R005,Food Bank,14.660538584903229,16.4332272684958,11.969414558763505,0,Bread,Low,2025-04-30 07:00:00,weekend,7
R006,Food Bank,5.6732301008724,46.54645528436463,11.421188531675677,0,Dairy,Medium,2025-04-30 07:00:00,weekend,7
R007,Community Center,44.38520913791499,17.545750627603933,10.940236271372095,0,Bread,Medium,2025-04-30 07:00:00,weekend,7
R008,Food Bank,5.0561338061395125,4.205340305749871,13.005857351143582,0,Dairy,Medium,2025-04-30 07:00:00,weekend,7
R009,Food Bank,25.666308434619644,11.661403621226391,12.427626628988238,0,Vegetables,Medium,2025-04-30 07:00:00,weekend,7
R000,Food Bank,37.53073758204292,40.3417369633632,10.60133225385706,0,Bread,High,2025-04-30 09:00:00,weekend,9
R001,Community Center,29.027200617195493,43.3558303604861,11.48227435764027,0,Bread,Medium,2025-04-30 09:00:00,weekend,9
R002,Community Center,37.72714370423412,5.15619344179663,10.771497264139013,0,Dairy,Medium,2025-04-30 09:00:00,weekend,9
R003,Food Bank,44.77616142481003,19.46008393670816,11.276301755008816,0,Vegetables,Low,2025-04-30 09:00:00,weekend,9
R004,Community Center,47.84004425632282,33.83849522121516,9.842404663475952,0,Dairy,Medium,2025-04-30 09:00:00,weekend,9
R005,Food Bank,14.660538584903229,16.4332272684958,11.826332968449336,0,Bread,Low,2025-04-30 09:00:00,weekend,9
R006,Food Bank,5.6732301008724,46.54645528436463,11.29582701847622,0,Dairy,Medium,2025-04-30 09:00:00,weekend,9
R007,Community Center,44.38520913791499,17.545750627603933,11.003918056820588,0,Bread,Medium,2025-04-30 09:00:00,weekend,9
R008,Food Bank,5.0561338061395125,4.205340305749871,12.75870642451418,0,Dairy,Medium,2025-04-30 09:00:00,weekend,9
R009,Food Bank,25.666308434619644,11.661403621226391,12.281139400086284,0,Vegetables,Medium,2025-04-30 09:00:00,weekend,9
R000,Food Bank,37.53073758204292,40.3417369633632,10.64699979431998,0,Bread,High,2025-04-30 11:00:00,weekend,11
R001,Community Center,29.027200617195493,43.3558303604861,11.53674327733317,0,Bread,Medium,2025-04-30 11:00:00,weekend,11
R002,Community Center,37.72714370423412,5.15619344179663,10.761924050561095,0,Dairy,Medium,2025-04-30 11:00:00,weekend,11
R003,Food Bank,44.77616142481003,19.46008393670816,10.75990387236424,0,Vegetables,Low,2025-04-30 11:00:00,weekend,11
R004,Community Center,47.84004425632282,33.83849522121516,9.46556922108823,0,Dairy,Medium,2025-04-30 11:00:00,weekend,11
R005,Food Bank,14.660538584903229,16.4332272684958,11.68930904498975,0,Bread,Low,2025-04-30 11:00:00,weekend,11
R006,Food Bank,5.6732301008724,46.54645528436463,11.337231344723193,0,Dairy,Medium,2025-04-30 11:00:00,weekend,11
R007,Community Center,44.38520913791499,17.545750627603933,10.595638451826726,0,Bread,Medium,2025-04-30 11:00:00,weekend,11
R008,Food Bank,5.0561338061395125,4.205340305749871,12.968896156519893,0,Dairy,Medium,2025-04-30 11:00:00,weekend,11
R009,Food Bank,25.666308434619644,11.661403621226391,12.4158149667218,0,Vegetables,Medium,2025-04-30 11:00:00,weekend,11
R000,Food Bank,37.53073758204292,40.3417369633632,11.3427149199233,0,Bread,High,2025-04-30 13:00:00,weekend,13
R001,Community Center,29.027200617195493,43.3558303604861,12.138166644363197,0,Bread,Medium,2025-04-30 13:00:00,weekend,13
R002,Community Center,37.72714370423412,5.15619344179663,11.576779081670447,0,Dairy,Medium,2025-04-30 13:00:00,weekend,13
R003,Food Bank,44.77616142481003,19.46008393670816,11.382980273047686,0,Vegetables,Low,2025-04-30 13:00:00,weekend,13
R004,Community Center,47.84004425632282,33.83849522121516,10.251393124318305,0,Dairy,Medium,2025-04-30 13:00:00,weekend,13
R005,Food Bank,14.660538584903229,16.4332272684958,12.168445920382291,0,Bread,Low,2025-04-30 13:00:00,weekend,13
R006,Food Bank,5.6732301008724,46.54645528436463,11.579121158678127,0,Dairy,Medium,2025-04-30 13:00:00,weekend,13
R007,Community Center,44.38520913791499,17.545750627603933,11.212816171118758,0,Bread,Medium,2025-04-30 13:00:00,weekend,13
R008,Food Bank,5.0561338061395125,4.205340305749871,13.077906118929368,0,Dairy,Medium,2025-04-30 13:00:00,weekend,13
R009,Food Bank,25.666308434619644,11.661403621226391,12.73476334924852,0,Vegetables,Medium,2025-04-30 13:00:00,weekend,13
R000,Food Bank,37.53073758204292,40.3417369633632,11.069190213747559,0,Bread,High,2025-04-30 15:00:00,weekend,15
R001,Community Center,29.027200617195493,43.3558303604861,11.74456201552616,0,Bread,Medium,2025-04-30 15:00:00,weekend,15
R002,Community Center,37.72714370423412,5.15619344179663,11.37549357314291,0,Dairy,Medium,2025-04-30 15:00:00,weekend,15
R003,Food Bank,44.77616142481003,19.46008393670816,11.557220592808243,0,Vegetables,Low,2025-04-30 15:00:00,weekend,15
R004,Community Center,47.84004425632282,33.83849522121516,10.55313440034356,0,Dairy,Medium,2025-04-30 15:00:00,weekend,15
R005,Food Bank,14.660538584903229,16.4332272684958,11.879302472399626,0,Bread,Low,2025-04-30 15:00:00,weekend,15
R006,Food Bank,5.6732301008724,46.54645528436463,11.4276822563926,0,Dairy,Medium,2025-04-30 15:00:00,weekend,15
R007,Community Center,44.38520913791499,17.545750627603933,11.338024526258746,0,Bread,Medium,2025-04-30 15:00:00,weekend,15
R008,Food Bank,5.0561338061395125,4.205340305749871,12.627345283465974,0,Dairy,Medium,2025-04-30 15:00:00,weekend,15
R009,Food Bank,25.666308434619644,11.661403621226391,12.37025640370499,0,Vegetables,Medium,2025-04-30 15:00:00,weekend,15
R000,Food Bank,37.53073758204292,40.3417369633632,11.195523285044828,0,Bread,High,2025-04-30 17:00:00,weekend,17
R001,Community Center,29.027200617195493,43.3558303604861,11.81665464603255,0,Bread,Medium,2025-04-30 17:00:00,weekend,17
R002,Community Center,37.72714370423412,5.15619344179663,11.826046004900912,0,Dairy,Medium,2025-04-30 17:00:00,weekend,17
R003,Food Bank,44.77616142481003,19.46008393670816,11.571561765978352,0,Vegetables,Low,2025-04-30 17:00:00,weekend,17
R004,Community Center,47.84004425632282,33.83849522121516,10.443761674444065,0,Dairy,Medium,2025-04-30 17:00:00,weekend,17
R005,Food Bank,14.660538584903229,16.4332272684958,11.996473438994007,0,Bread,Low,2025-04-30 17:00:00,weekend,17
R006,Food Bank,5.6732301008724,46.54645528436463,11.39899616154819,0,Dairy,Medium,2025-04-30 17:00:00,weekend,17
R007,Community Center,44.38520913791499,17.545750627603933,11.361780653671538,0,Bread,Medium,2025-04-30 17:00:00,weekend,17
R008,Food Bank,5.0561338061395125,4.205340305749871,12.586559598114992,0,Dairy,Medium,2025-04-30 17:00:00,weekend,17
R009,Food Bank,25.666308434619644,11.661403621226391,12.482335938857316,0,Vegetables,Medium,2025-04-30 17:00:00,weekend,17
R000,Food Bank,37.53073758204292,40.3417369633632,11.426594919520607,0,Bread,High,2025-04-30 19:00:00,weekend,19
R001,Community Center,29.027200617195493,43.3558303604861,11.895420690714534,0,Bread,Medium,2025-04-30 19:00:00,weekend,19
R002,Community Center,37.72714370423412,5.15619344179663,12.015689137792567,0,Dairy,Medium,2025-04-30 19:00:00,weekend,19
R003,Food Bank,44.77616142481003,19.46008393670816,11.875531267178179,0,Vegetables,Low,2025-04-30 19:00:00,weekend,19
R004,Community Center,47.84004425632282,33.83849522121516,10.816272513296564,0,Dairy,Medium,2025-04-30 19:00:00,weekend,19
R005,Food Bank,14.660538584903229,16.4332272684958,12.163298443335405,0,Bread,Low,2025-04-30 19:00:00,weekend,19
R006,Food Bank,5.6732301008724,46.54645528436463,11.602628135351818,0,Dairy,Medium,2025-04-30 19:00:00,weekend,19
R007,Community Center,44.38520913791499,17.545750627603933,11.881158869987235,0,Bread,Medium,2025-04-30 19:00:00,weekend,19
R008,Food Bank,5.0561338061395125,4.205340305749871,12.58898684927049,0,Dairy,Medium,2025-04-30 19:00:00,weekend,19
R009,Food Bank,25.666308434619644,11.661403621226391,12.563178446758887,0,Vegetables,Medium,2025-04-30 19:00:00,weekend,19
R000,Food Bank,37.53073758204292,40.3417369633632,11.807502892489318,0,Bread,High,2025-04-30 21:00:00,weekend,21
R001,Community Center,29.027200617195493,43.3558303604861,12.18166004944758,0,Bread,Medium,2025-04-30 21:00:00,weekend,21
R002,Community Center,37.72714370423412,5.15619344179663,12.114638613738329,0,Dairy,Medium,2025-04-30 21:00:00,weekend,21
R003,Food Bank,44.77616142481003,19.46008393670816,12.092230875728644,0,Vegetables,Low,2025-04-30 21:00:00,weekend,21
R004,Community Center,47.84004425632282,33.83849522121516,11.034280629175958,0,Dairy,Medium,2025-04-30 21:00:00,weekend,21
R005,Food Bank,14.660538584903229,16.4332272684958,12.480898044839858,0,Bread,Low,2025-04-30 21:00:00,weekend,21
R006,Food Bank,5.6732301008724,46.54645528436463,11.976804399978414,0,Dairy,Medium,2025-04-30 21:00:00,weekend,21
R007,Community Center,44.38520913791499,17.545750627603933,12.079848726139089,0,Bread,Medium,2025-04-30 21:00:00,weekend,21
R008,Food Bank,5.0561338061395125,4.205340305749871,12.91420776790247,0,Dairy,Medium,2025-04-30 21:00:00,weekend,21
R009,Food Bank,25.666308434619644,11.661403621226391,12.830722786863264,0,Vegetables,Medium,2025-04-30 21:00:00,weekend,21
R000,Food Bank,37.53073758204292,40.3417369633632,10.423611503012632,0,Bread,High,2025-04-30 23:00:00,weekend,23
R001,Community Center,29.027200617195493,43.3558303604861,10.783742889036462,0,Bread,Medium,2025-04-30 23:00:00,weekend,23
R002,Community Center,37.72714370423412,5.15619344179663,10.825547551359275,0,Dairy,Medium,2025-04-30 23:00:00,weekend,23
R003,Food Bank,44.77616142481003,19.46008393670816,11.329735282309626,0,Vegetables,Low,2025-04-30 23:00:00,weekend,23
R004,Community Center,47.84004425632282,33.83849522121516,10.441053118983397,0,Dairy,Medium,2025-04-30 23:00:00,weekend,23
R005,Food Bank,14.660538584903229,16.4332272684958,11.008975759262423,0,Bread,Low,2025-04-30 23:00:00,weekend,23
R006,Food Bank,5.6732301008724,46.54645528436463,10.781937768989508,0,Dairy,Medium,2025-04-30 23:00:00,weekend,23
R007,Community Center,44.38520913791499,17.545750627603933,11.505421821708875,0,Bread,Medium,2025-04-30 23:00:00,weekend,23
R008,Food Bank,5.0561338061395125,4.205340305749871,11.681501159408247,0,Dairy,Medium,2025-04-30 23:00:00,weekend,23
R009,Food Bank,25.666308434619644,11.661403621226391,11.122297056354391,0,Vegetables,Medium,2025-04-30 23:00:00,weekend,23
R000,Food Bank,37.53073758204292,40.3417369633632,10.920236154293782,0,Bread,High,2025-05-01 01:00:00,weekend,25
R001,Community Center,29.027200617195493,43.3558303604861,11.615895326961054,0,Bread,Medium,2025-05-01 01:00:00,weekend,25
