donor_id,donor_type,location_x,location_y,food_id,food_type,quantity_kg,expiry_date,perishability_hours,nutritional_value,donation_timestamp
D000,Household,3.745401188473625,7.319939418114051,F000000,Dairy,1.8997742423620259,2025-05-01 18:00:00,24,High,2025-04-30 20:00:00
D001,Restaurant,6.011150117432088,0.20584494295802447,F001000,Bread,2.9110519961044856,2025-05-01 09:00:00,168,High,2025-04-30 01:00:00
D001,Restaurant,6.011150117432088,0.20584494295802447,F001001,Dairy,5.72280788469014,2025-05-01 00:00:00,24,High,2025-04-30 01:00:00
D002,Restaurant,2.9122914019804194,1.3949386065204183,F002000,Dairy,8.066583652537123,2025-05-01 05:00:00,24,Low,2025-04-30 15:00:00
D003,Restaurant,9.832308858067883,8.599404067363206,F003000,Dairy,1.1193846504387988,2025-05-01 02:00:00,24,Medium,2025-04-30 06:00:00
D004,Supermarket,8.08397348116461,0.9767211400638387,F004000,Dairy,2.0983441136030097,2025-05-01 14:00:00,24,Low,2025-04-30 19:00:00
D004,Supermarket,8.08397348116461,0.9767211400638387,F004001,Vegetables,4.519545468159167,2025-05-01 08:00:00,24,Medium,2025-04-30 19:00:00
D005,Supermarket,4.2515587449124475,5.677003278199915,F005000,Dairy,4.55635212401633,2025-05-01 08:00:00,24,Medium,2025-04-30 17:00:00
D005,Supermarket,4.2515587449124475,5.677003278199915,F005001,Canned,3.9388669192525185,2025-05-02 20:00:00,168,High,2025-04-30 17:00:00
D006,Supermarket,3.8867728968948203,8.287375091519294,F006000,Dairy,2.4874024515670223,2025-05-01 08:00:00,24,Low,2025-04-30 12:00:00
D007,Supermarket,4.234014807063696,2.9348817471803814,F007000,Canned,7.561064512368886,2025-05-02 06:00:00,168,Low,2025-04-30 10:00:00
D008,Supermarket,0.7404465173409036,1.1586905952512971,F008000,Canned,3.9780822236738427,2025-05-02 17:00:00,168,Low,2025-04-30 06:00:00
D009,Supermarket,3.109823217156622,7.29606178338064,F009000,Bread,5.249934326457543,2025-05-04 23:00:00,168,Low,2025-04-30 07:00:00
D009,Supermarket,3.109823217156622,7.29606178338064,F009001,Canned,7.847065437552077,2025-05-06 16:00:00,168,Low,2025-04-30 07:00:00
D010,Restaurant,0.40433589538431347,1.1089082081183133,F010000,Vegetables,6.727693701374023,2025-05-01 03:00:00,24,High,2025-04-30 12:00:00
D011,Household,5.085706911647028,2.4929222914887497,F011000,Bread,3.059183489424602,2025-05-03 22:00:00,168,Low,2025-04-30 12:00:00
D012,Household,6.947849330397045,6.2435404813379325,F012000,Dairy,2.9659639349515023,2025-05-01 11:00:00,24,Medium,2025-04-30 20:00:00
D012,Household,6.947849330397045,6.2435404813379325,F012001,Bread,3.9191051890474657,2025-05-05 03:00:00,168,High,2025-04-30 20:00:00
D013,Supermarket,3.1800347497186388,2.279351625419417,F013000,Bread,1.0625691747807164,2025-05-07 17:00:00,168,High,2025-04-30 19:00:00
D014,Restaurant,4.848299713589832,2.6941233379852148,F014000,Vegetables,2.968877976157632,2025-05-01 18:00:00,24,High,2025-04-30 23:00:00
D015,Supermarket,4.038361710580408,2.539154139343447,F015000,Canned,7.410435309319978,2025-05-05 03:00:00,168,High,2025-04-30 11:00:00
D015,Supermarket,4.038361710580408,2.539154139343447,F015001,Bread,3.401029128477565,2025-05-01 00:00:00,168,Medium,2025-04-30 11:00:00
D016,Supermarket,4.110370133182313,3.45071248026683,F016000,Canned,5.778411249854227,2025-05-03 07:00:00,168,Low,2025-04-30 00:00:00
D017,Supermarket,7.616196153287175,7.282163486118596,F017000,Canned,6.7017673968480524,2025-05-07 05:00:00,168,Low,2025-04-30 23:00:00
D018,Household,0.902897700544083,3.2078006497173583,F018000,Vegetables,6.318036488694176,2025-05-01 03:00:00,24,Low,2025-04-30 05:00:00
D018,Household,0.902897700544083,3.2078006497173583,F018001,Canned,8.285509415257438,2025-05-06 20:00:00,168,Low,2025-04-30 05:00:00
D019,Restaurant,1.7436642900499144,3.867353463005374,F019000,Vegetables,4.069597159452327,2025-05-01 13:00:00,24,Medium,2025-04-30 17:00:00
D019,Restaurant,1.7436642900499144,3.867353463005374,F019001,Bread,8.896054180428829,2025-05-05 07:00:00,168,Low,2025-04-30 17:00:00
