recipient_id,recipient_type,location_x,location_y,demand_level_kg,food_type_preference,priority,demand_timestamp
R000,Shelter,9.821683433294355,5.166358912710143,8.912437622456135,Vegetables,High,2025-04-30 11:00:00
R001,Food Bank,9.004180571633304,6.33101457273268,10.08544686573051,Canned,Low,2025-04-30 15:00:00
R002,Community Center,8.563242918780924,4.045081271221901,18.316551481414397,Bread,High,2025-04-30 07:00:00
R003,Shelter,6.689882547142286,5.806866214364547,10.584241498426145,Vegetables,Medium,2025-04-30 17:00:00
R004,Shelter,5.487337893665861,6.918951976926932,14.779418892539008,Vegetables,High,2025-04-30 03:00:00
R005,Food Bank,4.938937151834346,1.7882270922132881,10.497031768742898,Bread,Low,2025-04-30 16:00:00
R006,Food Bank,5.425402305548993,5.0881407683876,14.544989272788431,Dairy,High,2025-04-30 05:00:00
R007,Shelter,3.930977246667604,8.920465551771134,14.467079389958943,Dairy,Medium,2025-04-30 00:00:00
R008,Community Center,4.925176938188639,1.952429877980445,15.83678172892258,Canned,Medium,2025-04-30 16:00:00
R009,Food Bank,9.94550510797341,4.69944513990943,9.19340512695138,Dairy,Medium,2025-04-30 08:00:00
