recipient_type,location_x,location_y,food_type_preference,priority,hour,day_of_week,step_count,fulfilled_demand
0,4.925176938188639,1.952429877980445,1,1,20,3,45,177.48975728167133
0,4.925176938188639,1.952429877980445,1,1,14,2,15,44.51032195881589
2,9.821683433294355,5.166358912710143,3,2,18,2,19,59.32825494454749
1,5.425402305548993,5.0881407683876,2,2,2,2,3,17.924085514485856
1,5.425402305548993,5.0881407683876,2,2,12,2,13,58.30738490387045
2,3.930977246667604,8.920465551771134,2,1,8,4,57,166.2835836287345
2,3.930977246667604,8.920465551771134,2,1,0,2,1,0.0
2,9.821683433294355,5.166358912710143,3,2,22,2,23,59.32825494454749
0,8.563242918780924,4.045081271221901,0,2,16,3,41,108.16418090438982
2,9.821683433294355,5.166358912710143,3,2,14,4,63,121.36747348793487
0,8.563242918780924,4.045081271221901,0,2,14,4,63,141.3142002355404
2,3.930977246667604,8.920465551771134,2,1,2,3,27,89.87912766294863
2,6.689882547142286,5.806866214364547,3,1,6,3,31,103.76389005906482
1,9.004180571633304,6.33101457273268,1,0,20,2,21,49.502242088721445
0,8.563242918780924,4.045081271221901,0,2,4,4,53,115.52949588745516
2,9.821683433294355,5.166358912710143,3,2,12,2,13,42.48063622348762
1,5.425402305548993,5.0881407683876,2,2,20,4,69,225.13515956913676
0,4.925176938188639,1.952429877980445,1,1,0,4,49,187.9830716311778
2,9.821683433294355,5.166358912710143,3,2,2,4,51,102.81492867723009
2,9.821683433294355,5.166358912710143,3,2,18,3,43,88.62324847369364
2,5.487337893665861,6.918951976926932,3,2,14,4,63,220.24004247411565
2,3.930977246667604,8.920465551771134,2,1,2,2,3,30.165280054930825
2,9.821683433294355,5.166358912710143,3,2,4,3,29,72.65344612925225
2,5.487337893665861,6.918951976926932,3,2,4,2,5,22.14726348529775
2,3.930977246667604,8.920465551771134,2,1,12,4,61,179.9789443498758
1,9.004180571633304,6.33101457273268,1,0,18,4,67,176.34689696801212
0,8.563242918780924,4.045081271221901,0,2,20,3,45,108.16418090438982
1,9.94550510797341,4.69944513990943,2,1,22,3,47,126.05911228677752
1,4.938937151834346,1.788227092213288,0,0,20,4,69,273.66734464730274
2,3.930977246667604,8.920465551771134,2,1,14,3,39,113.55869741204054
0,8.563242918780924,4.045081271221901,0,2,2,3,27,74.23776246019331
0,4.925176938188639,1.952429877980445,1,1,2,4,51,201.2344367656177
0,4.925176938188639,1.952429877980445,1,1,16,4,65,233.11543971881488
2,5.487337893665861,6.918951976926932,3,2,18,4,67,229.88636218727729
1,9.94550510797341,4.69944513990943,2,1,2,2,3,15.888664299861702
1,9.94550510797341,4.69944513990943,2,1,2,3,27,76.06166314683738
1,9.94550510797341,4.69944513990943,2,1,14,2,15,65.32993661040197
1,5.425402305548993,5.0881407683876,2,2,22,2,23,89.31906794520036
0,4.925176938188639,1.952429877980445,1,1,2,2,3,13.339475762223111
2,6.689882547142286,5.806866214364547,3,1,20,3,45,142.18927161302855
2,5.487337893665861,6.918951976926932,3,2,20,2,21,62.91173433318576
1,9.004180571633304,6.33101457273268,1,0,6,4,55,141.63962187367093
1,9.004180571633304,6.33101457273268,1,0,6,2,7,25.95915975383232
2,5.487337893665861,6.918951976926932,3,2,2,4,51,179.1587550975786
0,4.925176938188639,1.952429877980445,1,1,4,3,29,104.84023486440095
2,9.821683433294355,5.166358912710143,3,2,12,3,37,81.77700803777029
0,8.563242918780924,4.045081271221901,0,2,18,4,67,141.3142002355404
1,4.938937151834346,1.788227092213288,0,0,12,4,61,234.74407272248888
1,4.938937151834346,1.788227092213288,0,0,4,4,53,211.12054272830267
2,6.689882547142286,5.806866214364547,3,1,8,3,33,103.76389005906482
1,9.94550510797341,4.69944513990943,2,1,10,2,11,50.36393256190996
2,3.930977246667604,8.920465551771134,2,1,4,3,29,89.87912766294863
0,8.563242918780924,4.045081271221901,0,2,10,4,59,133.15729735797623
1,9.004180571633304,6.33101457273268,1,0,22,2,23,73.33053056304952
1,4.938937151834346,1.788227092213288,0,0,4,3,29,121.27908952246776
1,4.938937151834346,1.788227092213288,0,0,2,2,3,15.671696945930552
2,9.821683433294355,5.166358912710143,3,2,20,3,45,88.62324847369364
1,5.425402305548993,5.0881407683876,2,2,0,2,1,0.0
2,6.689882547142286,5.806866214364547,3,1,2,4,51,171.7070035602853
1,9.004180571633304,6.33101457273268,1,0,22,3,47,124.94199938038489
2,9.821683433294355,5.166358912710143,3,2,2,2,3,22.71756041894792
0,4.925176938188639,1.952429877980445,1,1,6,3,31,121.84160265353346
2,3.930977246667604,8.920465551771134,2,1,6,4,55,166.2835836287345
1,9.004180571633304,6.33101457273268,1,0,16,2,17,35.86940408488934
1,9.94550510797341,4.69944513990943,2,1,18,3,43,126.05911228677752
1,5.425402305548993,5.0881407683876,2,2,14,3,39,139.23522748176617
0,8.563242918780924,4.045081271221901,0,2,10,3,35,83.3993492742126
1,4.938937151834346,1.788227092213288,0,0,10,3,35,158.41093576097438
0,8.563242918780924,4.045081271221901,0,2,22,3,47,115.52949588745516
1,9.94550510797341,4.69944513990943,2,1,16,4,65,160.90026242698914
0,8.563242918780924,4.045081271221901,0,2,18,2,19,62.38602753846075
1,9.94550510797341,4.69944513990943,2,1,12,2,13,50.36393256190996
1,9.004180571633304,6.33101457273268,1,0,12,4,61,145.1625429068715
1,5.425402305548993,5.0881407683876,2,2,18,2,19,85.54868904024887
2,6.689882547142286,5.806866214364547,3,1,4,3,29,103.76389005906482
2,3.930977246667604,8.920465551771134,2,1,4,4,53,153.31349481780157
2,3.930977246667604,8.920465551771134,2,1,18,2,19,68.68035152974703
2,5.487337893665861,6.918951976926932,3,2,20,4,69,229.88636218727729
0,4.925176938188639,1.952429877980445,1,1,12,2,13,39.87985350738613
