recipient_type,location_x,location_y,food_type_preference,priority,hour,day_of_week,step_count,fulfilled_demand
1,5.0561338061395125,4.205340305749871,1,1,20,3,45,321.69041702725644
1,5.0561338061395125,4.205340305749871,1,1,14,2,15,103.40685152582716
1,37.53073758204292,40.3417369633632,0,2,18,2,19,143.54797579967985
1,5.6732301008724,46.54645528436463,1,1,2,2,3,32.28163762607911
1,5.6732301008724,46.54645528436463,1,1,12,2,13,127.25225732813122
0,44.38520913791499,17.545750627603933,0,1,8,4,57,387.0118703726907
0,44.38520913791499,17.545750627603933,0,1,0,2,1,0.0
1,37.53073758204292,40.3417369633632,0,2,22,2,23,165.1238576094793
0,37.72714370423412,5.15619344179663,1,1,16,3,41,300.3670322619781
1,37.53073758204292,40.3417369633632,0,2,14,4,63,438.0558219275222
0,37.72714370423412,5.15619344179663,1,1,14,4,63,407.76034117238993
0,44.38520913791499,17.545750627603933,0,1,2,3,27,171.88124762282823
1,44.77616142481003,19.46008393670816,2,0,6,3,31,238.1158861072008
0,29.027200617195493,43.3558303604861,0,1,20,2,21,132.3004309302066
0,37.72714370423412,5.15619344179663,1,1,4,4,53,360.340498776916
1,37.53073758204292,40.3417369633632,0,2,12,2,13,98.26957407834897
1,5.6732301008724,46.54645528436463,1,1,20,4,69,503.3269594993296
1,5.0561338061395125,4.205340305749871,1,1,0,4,49,376.2993016634065
1,37.53073758204292,40.3417369633632,0,2,2,4,51,328.8622470828951
1,37.53073758204292,40.3417369633632,0,2,18,3,43,281.41537049063487
0,47.84004425632282,33.83849522121516,1,1,14,4,63,378.56221777417255
0,44.38520913791499,17.545750627603933,0,1,2,2,3,8.49875420562548
1,37.53073758204292,40.3417369633632,0,2,4,3,29,195.49862302523937
0,47.84004425632282,33.83849522121516,1,1,4,2,5,30.34008185528289
0,44.38520913791499,17.545750627603933,0,1,12,4,61,414.7751001324984
0,29.027200617195493,43.3558303604861,0,1,18,4,67,452.2341985978479
0,37.72714370423412,5.15619344179663,1,1,20,3,45,315.79706470965334
1,25.666308434619644,11.661403621226391,2,1,22,3,47,268.29750532833225
1,14.660538584903229,16.4332272684958,0,0,20,4,69,521.2591115627516
0,44.38520913791499,17.545750627603933,0,1,14,3,39,235.19791473036372
0,37.72714370423412,5.15619344179663,1,1,2,3,27,198.33997838094265
1,5.0561338061395125,4.205340305749871,1,1,2,4,51,389.5964407596556
1,5.0561338061395125,4.205340305749871,1,1,16,4,65,538.9186991433893
0,47.84004425632282,33.83849522121516,1,1,18,4,67,400.0120132447077
1,25.666308434619644,11.661403621226391,2,1,2,2,3,17.139788464549724
1,25.666308434619644,11.661403621226391,2,1,2,3,27,147.85632537735862
1,25.666308434619644,11.661403621226391,2,1,14,2,15,78.62854520822374
1,5.6732301008724,46.54645528436463,1,1,22,2,23,173.7547949651917
1,5.0561338061395125,4.205340305749871,1,1,2,2,3,18.570730580916493
1,44.77616142481003,19.46008393670816,2,0,20,3,45,316.5845902071179
0,47.84004425632282,33.83849522121516,1,1,20,2,21,111.84157084343656
0,29.027200617195493,43.3558303604861,0,1,6,4,55,330.5542556594043
0,29.027200617195493,43.3558303604861,0,1,6,2,7,47.14710716697471
0,47.84004425632282,33.83849522121516,1,1,2,4,51,315.2309911104911
1,5.0561338061395125,4.205340305749871,1,1,4,3,29,175.4266604298079
1,37.53073758204292,40.3417369633632,0,2,12,3,37,247.27925704218188
0,37.72714370423412,5.15619344179663,1,1,18,4,67,435.1889776335256
1,14.660538584903229,16.4332272684958,0,0,12,4,61,482.5427777160792
1,14.660538584903229,16.4332272684958,0,0,4,4,53,435.6313559903091
1,44.77616142481003,19.46008393670816,2,0,8,3,33,248.35597543175464
1,25.666308434619644,11.661403621226391,2,1,10,2,11,64.00055023913252
0,44.38520913791499,17.545750627603933,0,1,4,3,29,182.69702734687863
0,37.72714370423412,5.15619344179663,1,1,10,4,59,387.95108705497375
0,29.027200617195493,43.3558303604861,0,1,22,2,23,141.17251018838738
1,14.660538584903229,16.4332272684958,0,0,4,3,29,232.28784349008
1,14.660538584903229,16.4332272684958,0,0,2,2,3,27.075086453887444
1,37.53073758204292,40.3417369633632,0,2,20,3,45,299.3075682606722
1,5.6732301008724,46.54645528436463,1,1,0,2,1,0.0
1,44.77616142481003,19.46008393670816,2,0,2,4,51,346.9057131950021
